,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site
250,3,17.56321212,291.7638667,241.8994212,0.728515384,26.06674667,1199.998,145a,wet,3,2016,S11
251,4,10.63255881,194.9310333,163.6825029,0.711115336,26.01548667,1200.008333,145a,wet,3,2016,S11
252,5,3.165423751,98.29079,87.92050677,0.706645483,26.00761333,1199.997333,145a,wet,3,2016,S11
253,6,-0.982776342,50.13707419,51.31317579,0.701224183,25.99211935,1199.994839,145a,wet,3,2016,S11
254,7,23.5942062,389.0031667,318.2567719,0.679562405,26.00340667,1199.972333,145a,wet,3,2016,S11
255,8,23.89952357,388.9179333,315.7881098,0.660690952,26.02016667,1199.988667,145a,wet,3,2016,S11
256,9,29.56780027,585.9514839,490.1995339,0.63792899,26.01768065,1199.985806,145a,wet,3,2016,S11
257,10,29.54272345,785.2685333,680.9912736,0.610980706,26.00840667,1199.993667,145a,wet,3,2016,S11
258,11,27.17676167,985.6153667,879.4202931,0.584534892,26.00766333,1200.002667,145a,wet,3,2016,S11
259,12,25.35176247,1185.681,1077.478261,0.567576612,26.00687,1200.005333,145a,wet,3,2016,S11
260,13,23.47647267,1485.557,1372.232992,0.545615392,26.00852333,1200.021333,145a,wet,3,2016,S11
