"","...1","X","obs","A","Ca","Ci","gsw","Tleaf","Q","ID","Treatment","Rep","Year","Site","PrePeak","Region"
"170",170,391,1,18.41735775,390.861,340.6117431,0.808239912,26.07393548,1199.996452,"148","dry",3,2010,"S15","Pre","North"
"171",171,404,1,14.88168316,392.7456129,339.1107335,0.582074,25.89102581,1200.009677,"148","wet",3,2010,"S15","Pre","North"
"172",172,417,1,15.30148215,392.8184839,330.8807023,0.496591442,26.05878065,1199.986452,"149","dry",3,2010,"S15","Pre","North"
"173",173,430,1,19.331446,391.0198387,322.433342,0.562663084,25.97600968,1199.994839,"149","wet",3,2010,"S15","Pre","North"
"174",174,443,1,16.29783146,392.0289333,339.906278,0.666476596,26.04387667,1200.004,"152","dry",3,2010,"S15","Pre","North"
"175",175,456,1,12.8578089,393.6779667,342.1075066,0.523730546,26.12553333,1200.011667,"152","wet",3,2010,"S15","Pre","North"
"176",176,469,1,11.46642301,394.133871,350.0766395,0.572727959,26.26182258,1199.989032,"153","dry",3,2010,"S15","Pre","North"
"177",177,482,1,13.88255067,393.2422333,339.2993843,0.536785371,25.87897667,1200.022,"153","wet",3,2010,"S15","Pre","North"
"178",178,495,1,16.80977651,391.8114516,342.0960409,0.730917001,26.20371935,1199.993226,"154","dry",3,2010,"S15","Pre","North"
"179",179,508,1,17.07150364,391.6543548,341.8508189,0.739852818,26.24758065,1200.00871,"154","wet",3,2010,"S15","Pre","North"
"180",180,521,1,12.3858751,393.3786667,353.2135606,0.723795986,26.11196667,1200.013,"155","dry",3,2010,"S15","Pre","North"
"181",181,534,1,14.51567452,392.677,347.866235,0.715385076,26.15828333,1200.005,"155","wet",3,2010,"S15","Pre","North"
"182",182,703,1,10.15514722,395.303,308.3073123,0.2170001,25.78531667,1200,"183","dry",3,2010,"S16","Pre","North"
"183",183,716,1,11.88315919,394.2023333,339.3772138,0.447480504,25.98943667,1200.005,"183","wet",3,2010,"S16","Pre","North"
"184",184,729,1,18.77826689,391.2274516,338.1064358,0.75028618,26.12899677,1199.987742,"184","dry",3,2010,"S16","Pre","North"
"185",185,742,1,11.47324074,394.0688333,350.4523602,0.58506494,25.99559667,1200.020333,"184","wet",3,2010,"S16","Pre","North"
"186",186,755,1,12.89362321,393.8213667,327.7742577,0.390569787,26.07443,1199.982333,"185","dry",3,2010,"S16","Pre","North"
"187",187,768,1,15.05211621,392.7011333,334.6690751,0.538295203,26.0808,1199.988,"185","wet",3,2010,"S16","Pre","North"
"188",188,781,1,12.96891669,393.3816774,350.2809005,0.668199564,26.02650645,1200.004194,"186","dry",3,2010,"S16","Pre","North"
